forecast_id,forecast_date,model_version,model_role,rank,ticker,company_name,sector,candidate_type,edge_status,rating,elasticity_score,next_day_move_probability,upside_momentum_score,bounce_score,downside_continuation_score,squeeze_score,squeeze_data_status,confluence_score,catalyst_score,expectation_gap_score,execution_quality_score,payoff_quality_score,risk_reward_ratio,precision_gate,risk_score,last_close,primary_scenario,primary_probability,secondary_scenario,secondary_probability,risk_scenario,risk_probability,expected_range,scenario_prices,trigger_levels,market_context,supporting_evidence,conflicting_evidence,missing_evidence,risk_flags,reason,status,actual_next_day_return,actual_3d_return,actual_5d_return,next_day_open,next_day_high,next_day_low,next_day_close,next_day_high_gain,next_day_close_gain,next_day_max_drawdown,range_hit,primary_hit,entry_triggered,stop_triggered,target_hit,open_condition_return,trigger_condition_return,executable_result
2026-06-15-stock_radar_baseline_v1-ASTS-184b177db82e,2026-06-15,stock_radar_baseline_v1,baseline,1,ASTS,AST SpaceMobile,Space / High Beta,next_day_upside_momentum,NO_EDGE,C,100.000000,0.793300,100.000000,32.870000,29.680000,57.650000,"{""short_interest"":""proxy"",""options_flow"":""proxy"",""borrow_fee"":""missing"",""note"":""Squeeze score uses volatility, relative volume and momentum proxies until real short/options data is connected.""}",49.380000,35.000000,,,,,,26.000000,78.975300,only_if_market_reclaims_risk_on,0.669900,open_drive_then_gap_fill,0.078400,failed_breakout_or_gap_fade,0.251700,"{""expected_low"":75.1078,""expected_high"":83.9171,""expected_mid"":79.5125,""expected_low_pct"":-0.04897,""expected_high_pct"":0.06257,""volatility_adjusted_range"":0.06802,""label"":""75.11 to 83.92""}","{""base_case_price"":79.5125,""upside_case_price"":83.9171,""downside_case_price"":75.1078,""bounce_target_price"":83.004,""failed_bounce_price"":58.7531}","{""upside_trigger_level"":80.4143,""downside_risk_level"":77.9381,""invalidation_level"":58.7531,""gap_fill_level"":75.585,""breakout_level"":80.3969,""breakdown_level"":58.7531,""nearest_support"":58.7531,""nearest_resistance"":77.1481}","{""market_state"":""defense"",""market_score"":26.47,""risk_level"":""high"",""data_freshness_status"":""fresh""}","[{""source"":""price"",""name"":""price_structure_confirmed"",""score"":85.0,""detail"":""Breakout/reclaim/high-close structure is constructive.""},{""source"":""volume"",""name"":""volume_anomaly_confirmed"",""score"":86.7,""detail"":""Relative volume and dollar liquidity are sufficient.""},{""source"":""sector"",""name"":""sector_context_confirmed"",""score"":66.55,""detail"":""Space / High Beta is showing relative strength.""}]","[{""source"":""catalyst"",""name"":""weak_or_missing_catalyst"",""score"":65.0,""detail"":""No strong confirmed recent catalyst.""},{""source"":""market"",""name"":""defensive_market_context"",""score"":70.0,""detail"":""Market context is defensive; ratings must be capped.""},{""source"":""pool_filter"",""name"":""fallback_or_missing_price_data"",""score"":90.0,""detail"":""fallback_or_missing_price_data""}]","[{""source"":""short_interest"",""name"":""real_short_interest_missing"",""score"":0.0,""detail"":""Squeeze score is proxy-only until real short interest/options data is connected.""},{""source"":""price_data"",""name"":""real_price_data_missing"",""score"":0.0,""detail"":""OHLCV uses fallback; do not present as fully validated.""}]","[""fallback_or_missing_price_data""]",Capped: weak_or_missing_catalyst / defensive_market_context,completed,0.041465,0.021332,,85.699997,89.599998,82.110001,82.250000,0.134532,0.041465,0.021087,true,true,true,false,true,-0.040257,0.022828,target_hit
2026-06-15-stock_radar_baseline_v1-SMCI-7e64742414fb,2026-06-15,stock_radar_baseline_v1,baseline,2,SMCI,Super Micro Computer,AI Infrastructure,next_day_upside_momentum,NO_EDGE,C,100.000000,0.791200,100.000000,31.320000,29.680000,64.850000,"{""short_interest"":""proxy"",""options_flow"":""proxy"",""borrow_fee"":""missing"",""note"":""Squeeze score uses volatility, relative volume and momentum proxies until real short/options data is connected.""}",48.630000,35.000000,,,,,,26.000000,40.525100,only_if_market_reclaims_risk_on,0.640100,open_drive_then_gap_fill,0.108200,failed_breakout_or_gap_fade,0.251700,"{""expected_low"":38.4894,""expected_high"":43.1262,""expected_mid"":40.8078,""expected_low_pct"":-0.05023,""expected_high_pct"":0.06419,""volatility_adjusted_range"":0.06977,""label"":""38.49 to 43.13""}","{""base_case_price"":40.8078,""upside_case_price"":43.1262,""downside_case_price"":38.4894,""bounce_target_price"":42.6456,""failed_bounce_price"":31.3962}","{""upside_trigger_level"":41.2736,""downside_risk_level"":39.9716,""invalidation_level"":31.3962,""gap_fill_level"":38.6709,""breakout_level"":41.2546,""breakdown_level"":31.3962,""nearest_support"":31.3962,""nearest_resistance"":39.1778}","{""market_state"":""defense"",""market_score"":26.47,""risk_level"":""high"",""data_freshness_status"":""fresh""}","[{""source"":""price"",""name"":""price_structure_confirmed"",""score"":85.0,""detail"":""Breakout/reclaim/high-close structure is constructive.""},{""source"":""volume"",""name"":""volume_anomaly_confirmed"",""score"":93.55,""detail"":""Relative volume and dollar liquidity are sufficient.""}]","[{""source"":""catalyst"",""name"":""weak_or_missing_catalyst"",""score"":65.0,""detail"":""No strong confirmed recent catalyst.""},{""source"":""sector"",""name"":""sector_context_weak"",""score"":46.36,""detail"":""AI Infrastructure is not a confirmed capital-flow theme.""},{""source"":""market"",""name"":""defensive_market_context"",""score"":70.0,""detail"":""Market context is defensive; ratings must be capped.""},{""source"":""pool_filter"",""name"":""fallback_or_missing_price_data"",""score"":90.0,""detail"":""fallback_or_missing_price_data""}]","[{""source"":""short_interest"",""name"":""real_short_interest_missing"",""score"":0.0,""detail"":""Squeeze score is proxy-only until real short interest/options data is connected.""},{""source"":""price_data"",""name"":""real_price_data_missing"",""score"":0.0,""detail"":""OHLCV uses fallback; do not present as fully validated.""}]","[""fallback_or_missing_price_data""]",Capped: weak_or_missing_catalyst / sector_context_weak,completed,-0.278965,-0.243432,,30.690001,30.750000,29.120001,29.219999,-0.241211,-0.278965,-0.051157,false,false,false,true,false,-0.047898,,stopped
2026-06-15-stock_radar_baseline_v1-ARM-4a4da5d168a8,2026-06-15,stock_radar_baseline_v1,baseline,3,ARM,Arm Holdings,AI / Semiconductors,short_squeeze_candidate,MODERATE_EDGE,A,100.000000,0.864200,100.000000,46.950000,25.000000,75.640000,"{""short_interest"":""proxy"",""options_flow"":""proxy"",""borrow_fee"":""missing"",""note"":""Squeeze score uses volatility, relative volume and momentum proxies until real short/options data is connected.""}",74.720000,35.000000,,,,,,0.000000,393.712800,upside_path_after_trigger,0.817700,range_extension_after_trigger,0.097300,failed_breakout_or_gap_fade,0.085000,"{""expected_low"":334.7029,""expected_high"":487.9648,""expected_mid"":411.3338,""expected_low_pct"":-0.14988,""expected_high_pct"":0.23939,""volatility_adjusted_range"":0.20817,""label"":""334.70 to 487.96""}","{""base_case_price"":411.3338,""upside_case_price"":487.9648,""downside_case_price"":334.7029,""bounce_target_price"":455.1815,""failed_bounce_price"":203.005}","{""upside_trigger_level"":427.99,""downside_risk_level"":380.2478,""invalidation_level"":203.005,""gap_fill_level"":380.81,""breakout_level"":427.99,""breakdown_level"":203.005,""nearest_support"":203.005,""nearest_resistance"":427.99}","{""market_state"":""attack"",""market_score"":72.64,""risk_level"":""low"",""data_freshness_status"":""fresh""}","[{""source"":""price"",""name"":""price_structure_confirmed"",""score"":86.0,""detail"":""Breakout/reclaim/high-close structure is constructive.""},{""source"":""sector"",""name"":""sector_context_confirmed"",""score"":74.58,""detail"":""AI / Semiconductors is showing relative strength.""},{""source"":""market"",""name"":""risk_on_market_context"",""score"":72.64,""detail"":""Market context allows selective speculation.""}]","[{""source"":""catalyst"",""name"":""weak_or_missing_catalyst"",""score"":65.0,""detail"":""No strong confirmed recent catalyst.""},{""source"":""volume"",""name"":""volume_or_liquidity_weak"",""score"":43.53,""detail"":""Volume confirmation or liquidity is weak.""}]","[{""source"":""short_interest"",""name"":""real_short_interest_missing"",""score"":0.0,""detail"":""Squeeze score is proxy-only until real short interest/options data is connected.""}]",{},price_structure_confirmed + sector_context_confirmed + risk_on_market_context,completed,0.006673,0.116194,,401.000000,428.600006,395.880005,396.339996,0.088611,0.006673,-0.075025,true,true,true,false,false,-0.011621,-0.073950,triggered_no_target
2026-06-15-stock_radar_baseline_v1-SOUN-d4f5386fd3d2,2026-06-15,stock_radar_baseline_v1,baseline,3,SOUN,SoundHound AI,AI Software,next_day_upside_momentum,NO_EDGE,C,100.000000,0.791100,100.000000,31.770000,29.680000,53.490000,"{""short_interest"":""proxy"",""options_flow"":""proxy"",""borrow_fee"":""missing"",""note"":""Squeeze score uses volatility, relative volume and momentum proxies until real short/options data is connected.""}",48.610000,35.000000,,,,,,26.000000,110.747700,only_if_market_reclaims_risk_on,0.647700,open_drive_then_gap_fill,0.100600,failed_breakout_or_gap_fade,0.251700,"{""expected_low"":104.8769,""expected_high"":118.2493,""expected_mid"":111.5631,""expected_low_pct"":-0.05301,""expected_high_pct"":0.06774,""volatility_adjusted_range"":0.07363,""label"":""104.88 to 118.25""}","{""base_case_price"":111.5631,""upside_case_price"":118.2493,""downside_case_price"":104.8769,""bounce_target_price"":116.8631,""failed_bounce_price"":87.5478}","{""upside_trigger_level"":112.8328,""downside_risk_level"":109.1514,""invalidation_level"":87.5478,""gap_fill_level"":106.5649,""breakout_level"":112.7412,""breakdown_level"":87.5478,""nearest_support"":87.5478,""nearest_resistance"":108.3384}","{""market_state"":""defense"",""market_score"":26.47,""risk_level"":""high"",""data_freshness_status"":""fresh""}","[{""source"":""price"",""name"":""price_structure_confirmed"",""score"":85.0,""detail"":""Breakout/reclaim/high-close structure is constructive.""},{""source"":""volume"",""name"":""volume_anomaly_confirmed"",""score"":90.34,""detail"":""Relative volume and dollar liquidity are sufficient.""}]","[{""source"":""catalyst"",""name"":""weak_or_missing_catalyst"",""score"":65.0,""detail"":""No strong confirmed recent catalyst.""},{""source"":""sector"",""name"":""sector_context_weak"",""score"":42.55,""detail"":""AI Software is not a confirmed capital-flow theme.""},{""source"":""market"",""name"":""defensive_market_context"",""score"":70.0,""detail"":""Market context is defensive; ratings must be capped.""},{""source"":""pool_filter"",""name"":""fallback_or_missing_price_data"",""score"":90.0,""detail"":""fallback_or_missing_price_data""}]","[{""source"":""short_interest"",""name"":""real_short_interest_missing"",""score"":0.0,""detail"":""Squeeze score is proxy-only until real short interest/options data is connected.""},{""source"":""price_data"",""name"":""real_price_data_missing"",""score"":0.0,""detail"":""OHLCV uses fallback; do not present as fully validated.""}]","[""fallback_or_missing_price_data""]",Capped: weak_or_missing_catalyst / sector_context_weak,completed,-0.936522,-0.935710,,7.213000,7.380000,6.854000,7.030000,-0.933362,-0.936522,-0.049771,false,false,false,true,false,-0.025371,,stopped
2026-06-15-stock_radar_baseline_v1-SAVA-35d20283ab51,2026-06-15,stock_radar_baseline_v1,baseline,4,SAVA,Cassava Sciences,Biotech,next_day_upside_momentum,NO_EDGE,C,100.000000,0.789800,100.000000,34.490000,29.680000,55.070000,"{""short_interest"":""proxy"",""options_flow"":""proxy"",""borrow_fee"":""missing"",""note"":""Squeeze score uses volatility, relative volume and momentum proxies until real short/options data is connected.""}",48.140000,35.000000,,,,,,26.000000,37.336100,only_if_market_reclaims_risk_on,0.690500,range_extension_after_trigger,0.057800,failed_breakout_or_gap_fade,0.251700,"{""expected_low"":35.462,""expected_high"":39.7308,""expected_mid"":37.5964,""expected_low_pct"":-0.0502,""expected_high_pct"":0.06414,""volatility_adjusted_range"":0.06972,""label"":""35.46 to 39.73""}","{""base_case_price"":37.5964,""upside_case_price"":39.7308,""downside_case_price"":35.462,""bounce_target_price"":39.2883,""failed_bounce_price"":30.1859}","{""upside_trigger_level"":38.0257,""downside_risk_level"":36.8262,""invalidation_level"":30.1859,""gap_fill_level"":36.8617,""breakout_level"":38.0081,""breakdown_level"":30.1859,""nearest_support"":30.1859,""nearest_resistance"":37.3872}","{""market_state"":""defense"",""market_score"":26.47,""risk_level"":""high"",""data_freshness_status"":""fresh""}","[{""source"":""price"",""name"":""price_structure_confirmed"",""score"":64.0,""detail"":""Breakout/reclaim/high-close structure is constructive.""},{""source"":""volume"",""name"":""volume_anomaly_confirmed"",""score"":92.42,""detail"":""Relative volume and dollar liquidity are sufficient.""},{""source"":""sector"",""name"":""sector_context_confirmed"",""score"":80.1,""detail"":""Biotech is showing relative strength.""}]","[{""source"":""catalyst"",""name"":""weak_or_missing_catalyst"",""score"":65.0,""detail"":""No strong confirmed recent catalyst.""},{""source"":""market"",""name"":""defensive_market_context"",""score"":70.0,""detail"":""Market context is defensive; ratings must be capped.""},{""source"":""pool_filter"",""name"":""fallback_or_missing_price_data"",""score"":90.0,""detail"":""fallback_or_missing_price_data""}]","[{""source"":""short_interest"",""name"":""real_short_interest_missing"",""score"":0.0,""detail"":""Squeeze score is proxy-only until real short interest/options data is connected.""},{""source"":""price_data"",""name"":""real_price_data_missing"",""score"":0.0,""detail"":""OHLCV uses fallback; do not present as fully validated.""}]","[""fallback_or_missing_price_data""]",Capped: weak_or_missing_catalyst / defensive_market_context,completed,-0.025139,0.000000,,36.168300,36.956200,35.711200,36.397500,-0.010175,-0.025139,-0.012638,true,false,false,false,false,0.006337,,not_triggered
2026-06-15-stock_radar_baseline_v1-CRSP-d457360a7894,2026-06-15,stock_radar_baseline_v1,baseline,5,CRSP,CRISPR Therapeutics,Biotech,next_day_upside_momentum,NO_EDGE,C,100.000000,0.771200,100.000000,34.490000,29.680000,53.280000,"{""short_interest"":""proxy"",""options_flow"":""proxy"",""borrow_fee"":""missing"",""note"":""Squeeze score uses volatility, relative volume and momentum proxies until real short/options data is connected.""}",47.760000,35.000000,,,,,,26.000000,67.571400,only_if_market_reclaims_risk_on,0.688500,range_extension_after_trigger,0.059700,failed_breakout_or_gap_fade,0.251700,"{""expected_low"":64.3,""expected_high"":71.7515,""expected_mid"":68.0258,""expected_low_pct"":-0.04841,""expected_high_pct"":0.06186,""volatility_adjusted_range"":0.06724,""label"":""64.30 to 71.75""}","{""base_case_price"":68.0258,""upside_case_price"":71.7515,""downside_case_price"":64.3,""bounce_target_price"":70.9791,""failed_bounce_price"":51.6854}","{""upside_trigger_level"":68.7877,""downside_risk_level"":66.7746,""invalidation_level"":51.6854,""gap_fill_level"":66.8312,""breakout_level"":68.7877,""breakdown_level"":51.6854,""nearest_support"":51.6854,""nearest_resistance"":68.1258}","{""market_state"":""defense"",""market_score"":26.47,""risk_level"":""high"",""data_freshness_status"":""fresh""}","[{""source"":""price"",""name"":""price_structure_confirmed"",""score"":64.0,""detail"":""Breakout/reclaim/high-close structure is constructive.""},{""source"":""volume"",""name"":""volume_anomaly_confirmed"",""score"":91.36,""detail"":""Relative volume and dollar liquidity are sufficient.""},{""source"":""sector"",""name"":""sector_context_confirmed"",""score"":80.1,""detail"":""Biotech is showing relative strength.""}]","[{""source"":""catalyst"",""name"":""weak_or_missing_catalyst"",""score"":65.0,""detail"":""No strong confirmed recent catalyst.""},{""source"":""market"",""name"":""defensive_market_context"",""score"":70.0,""detail"":""Market context is defensive; ratings must be capped.""},{""source"":""pool_filter"",""name"":""fallback_or_missing_price_data"",""score"":90.0,""detail"":""fallback_or_missing_price_data""}]","[{""source"":""short_interest"",""name"":""real_short_interest_missing"",""score"":0.0,""detail"":""Squeeze score is proxy-only until real short interest/options data is connected.""},{""source"":""price_data"",""name"":""real_price_data_missing"",""score"":0.0,""detail"":""OHLCV uses fallback; do not present as fully validated.""}]","[""fallback_or_missing_price_data""]",Capped: weak_or_missing_catalyst / defensive_market_context,completed,-0.230148,-0.199513,,52.680000,53.270000,51.279999,52.020000,-0.211649,-0.230148,-0.026576,false,false,false,true,false,-0.012528,,stopped
2026-06-15-stock_radar_baseline_v1-BEAM-6ec066fa60fb,2026-06-15,stock_radar_baseline_v1,baseline,6,BEAM,Beam Therapeutics,Biotech,gap_continuation,MODERATE_EDGE,A,100.000000,0.848200,85.980000,47.160000,25.000000,43.410000,"{""short_interest"":""proxy"",""options_flow"":""proxy"",""borrow_fee"":""missing"",""note"":""Squeeze score uses volatility, relative volume and momentum proxies until real short/options data is connected.""}",68.990000,35.000000,,,,,,0.000000,30.890000,upside_path_after_trigger,0.752100,range_extension_after_trigger,0.162900,failed_breakout_or_gap_fade,0.085000,"{""expected_low"":27.5764,""expected_high"":35.124,""expected_mid"":31.3502,""expected_low_pct"":-0.10727,""expected_high_pct"":0.13707,""volatility_adjusted_range"":0.14899,""label"":""27.58 to 35.12""}","{""base_case_price"":31.3502,""upside_case_price"":35.124,""downside_case_price"":27.5764,""bounce_target_price"":34.3416,""failed_bounce_price"":25.87}","{""upside_trigger_level"":34.02,""downside_risk_level"":30.0148,""invalidation_level"":25.87,""gap_fill_level"":29.03,""breakout_level"":34.02,""breakdown_level"":25.87,""nearest_support"":25.87,""nearest_resistance"":34.02}","{""market_state"":""attack"",""market_score"":72.64,""risk_level"":""low"",""data_freshness_status"":""fresh""}","[{""source"":""price"",""name"":""price_structure_confirmed"",""score"":78.0,""detail"":""Breakout/reclaim/high-close structure is constructive.""},{""source"":""sector"",""name"":""sector_context_confirmed"",""score"":76.3,""detail"":""Biotech is showing relative strength.""},{""source"":""market"",""name"":""risk_on_market_context"",""score"":72.64,""detail"":""Market context allows selective speculation.""}]","[{""source"":""catalyst"",""name"":""weak_or_missing_catalyst"",""score"":65.0,""detail"":""No strong confirmed recent catalyst.""},{""source"":""volume"",""name"":""volume_or_liquidity_weak"",""score"":57.8,""detail"":""Volume confirmation or liquidity is weak.""}]","[{""source"":""short_interest"",""name"":""real_short_interest_missing"",""score"":0.0,""detail"":""Squeeze score is proxy-only until real short interest/options data is connected.""}]",{},price_structure_confirmed + sector_context_confirmed + risk_on_market_context,completed,0.003237,0.105212,,31.120001,31.719999,30.230000,30.990000,0.026870,0.003237,-0.028599,true,false,false,false,false,-0.004177,,not_triggered
2026-06-15-stock_radar_baseline_v1-RIOT-9993255737bb,2026-06-15,stock_radar_baseline_v1,baseline,6,RIOT,Riot Platforms,Crypto Miners,next_day_upside_momentum,NO_EDGE,C,100.000000,0.787400,99.350000,34.250000,29.680000,49.510000,"{""short_interest"":""proxy"",""options_flow"":""proxy"",""borrow_fee"":""missing"",""note"":""Squeeze score uses volatility, relative volume and momentum proxies until real short/options data is connected.""}",47.280000,35.000000,,,,,,26.000000,85.494100,only_if_market_reclaims_risk_on,0.680200,range_extension_after_trigger,0.068100,failed_breakout_or_gap_fade,0.251700,"{""expected_low"":81.0589,""expected_high"":91.1613,""expected_mid"":86.1101,""expected_low_pct"":-0.05188,""expected_high_pct"":0.06629,""volatility_adjusted_range"":0.07205,""label"":""81.06 to 91.16""}","{""base_case_price"":86.1101,""upside_case_price"":91.1613,""downside_case_price"":81.0589,""bounce_target_price"":90.1141,""failed_bounce_price"":66.6837}","{""upside_trigger_level"":87.0923,""downside_risk_level"":84.2859,""invalidation_level"":66.6837,""gap_fill_level"":84.7829,""breakout_level"":87.033,""breakdown_level"":66.6837,""nearest_support"":66.6837,""nearest_resistance"":86.5466}","{""market_state"":""defense"",""market_score"":26.47,""risk_level"":""high"",""data_freshness_status"":""fresh""}","[{""source"":""price"",""name"":""price_structure_confirmed"",""score"":64.0,""detail"":""Breakout/reclaim/high-close structure is constructive.""},{""source"":""volume"",""name"":""volume_anomaly_confirmed"",""score"":90.09,""detail"":""Relative volume and dollar liquidity are sufficient.""},{""source"":""sector"",""name"":""sector_context_confirmed"",""score"":78.1,""detail"":""Crypto Miners is showing relative strength.""}]","[{""source"":""catalyst"",""name"":""weak_or_missing_catalyst"",""score"":65.0,""detail"":""No strong confirmed recent catalyst.""},{""source"":""market"",""name"":""defensive_market_context"",""score"":70.0,""detail"":""Market context is defensive; ratings must be capped.""},{""source"":""pool_filter"",""name"":""fallback_or_missing_price_data"",""score"":90.0,""detail"":""fallback_or_missing_price_data""}]","[{""source"":""short_interest"",""name"":""real_short_interest_missing"",""score"":0.0,""detail"":""Squeeze score is proxy-only until real short interest/options data is connected.""},{""source"":""price_data"",""name"":""real_price_data_missing"",""score"":0.0,""detail"":""OHLCV uses fallback; do not present as fully validated.""}]","[""fallback_or_missing_price_data""]",Capped: weak_or_missing_catalyst / defensive_market_context,completed,-0.679276,-0.671322,,27.170000,28.469000,27.170000,27.420000,-0.667006,-0.679276,0.000000,false,false,false,true,false,0.009201,,stopped
2026-06-15-stock_radar_baseline_v1-AMD-60f0c28c8da9,2026-06-15,stock_radar_baseline_v1,baseline,7,AMD,Advanced Micro Devices,AI / Semiconductors,next_day_upside_momentum,NO_EDGE,C,100.000000,0.787300,100.000000,31.320000,29.680000,52.550000,"{""short_interest"":""proxy"",""options_flow"":""proxy"",""borrow_fee"":""missing"",""note"":""Squeeze score uses volatility, relative volume and momentum proxies until real short/options data is connected.""}",47.270000,35.000000,,,,,,26.000000,65.194500,only_if_market_reclaims_risk_on,0.633100,open_drive_then_gap_fill,0.115200,failed_breakout_or_gap_fade,0.251700,"{""expected_low"":61.6671,""expected_high"":69.7018,""expected_mid"":65.6844,""expected_low_pct"":-0.05411,""expected_high_pct"":0.06914,""volatility_adjusted_range"":0.07515,""label"":""61.67 to 69.70""}","{""base_case_price"":65.6844,""upside_case_price"":69.7018,""downside_case_price"":61.6671,""bounce_target_price"":68.8689,""failed_bounce_price"":50.8287}","{""upside_trigger_level"":66.432,""downside_risk_level"":64.2335,""invalidation_level"":50.8287,""gap_fill_level"":62.6598,""breakout_level"":66.368,""breakdown_level"":50.8287,""nearest_support"":50.8287,""nearest_resistance"":63.8075}","{""market_state"":""defense"",""market_score"":26.47,""risk_level"":""high"",""data_freshness_status"":""fresh""}","[{""source"":""price"",""name"":""price_structure_confirmed"",""score"":85.0,""detail"":""Breakout/reclaim/high-close structure is constructive.""},{""source"":""volume"",""name"":""volume_anomaly_confirmed"",""score"":86.75,""detail"":""Relative volume and dollar liquidity are sufficient.""}]","[{""source"":""catalyst"",""name"":""weak_or_missing_catalyst"",""score"":65.0,""detail"":""No strong confirmed recent catalyst.""},{""source"":""sector"",""name"":""sector_context_weak"",""score"":46.36,""detail"":""AI / Semiconductors is not a confirmed capital-flow theme.""},{""source"":""market"",""name"":""defensive_market_context"",""score"":70.0,""detail"":""Market context is defensive; ratings must be capped.""},{""source"":""pool_filter"",""name"":""fallback_or_missing_price_data"",""score"":90.0,""detail"":""fallback_or_missing_price_data""}]","[{""source"":""short_interest"",""name"":""real_short_interest_missing"",""score"":0.0,""detail"":""Squeeze score is proxy-only until real short interest/options data is connected.""},{""source"":""price_data"",""name"":""real_price_data_missing"",""score"":0.0,""detail"":""OHLCV uses fallback; do not present as fully validated.""}]","[""fallback_or_missing_price_data""]",Capped: weak_or_missing_catalyst / sector_context_weak,completed,6.781178,7.242566,,546.890015,548.950012,507.250000,507.290009,7.420189,6.781178,6.635627,false,true,true,false,true,-0.072409,6.636230,target_hit
2026-06-15-stock_radar_baseline_v1-VST-3cd976bba680,2026-06-15,stock_radar_baseline_v1,baseline,7,VST,Vistra,Nuclear / Power,gap_continuation,WATCH,B,100.000000,0.845600,88.730000,47.090000,25.000000,38.640000,"{""short_interest"":""proxy"",""options_flow"":""proxy"",""borrow_fee"":""missing"",""note"":""Squeeze score uses volatility, relative volume and momentum proxies until real short/options data is connected.""}",68.060000,35.000000,,,,,,0.000000,153.720000,upside_path_after_trigger,0.753800,range_extension_after_trigger,0.161200,failed_breakout_or_gap_fade,0.085000,"{""expected_low"":144.523,""expected_high"":165.4717,""expected_mid"":154.9974,""expected_low_pct"":-0.05983,""expected_high_pct"":0.07645,""volatility_adjusted_range"":0.0831,""label"":""144.52 to 165.47""}","{""base_case_price"":154.9974,""upside_case_price"":165.4717,""downside_case_price"":144.523,""bounce_target_price"":163.3002,""failed_bounce_price"":132.66}","{""upside_trigger_level"":167.4,""downside_risk_level"":151.2877,""invalidation_level"":132.66,""gap_fill_level"":148.02,""breakout_level"":167.4,""breakdown_level"":132.66,""nearest_support"":132.66,""nearest_resistance"":167.4}","{""market_state"":""attack"",""market_score"":72.64,""risk_level"":""low"",""data_freshness_status"":""fresh""}","[{""source"":""sector"",""name"":""sector_context_confirmed"",""score"":75.71,""detail"":""Nuclear / Power is showing relative strength.""},{""source"":""market"",""name"":""risk_on_market_context"",""score"":72.64,""detail"":""Market context allows selective speculation.""}]","[{""source"":""catalyst"",""name"":""weak_or_missing_catalyst"",""score"":65.0,""detail"":""No strong confirmed recent catalyst.""},{""source"":""price"",""name"":""price_structure_unconfirmed"",""score"":38.0,""detail"":""Price structure has not confirmed a high-quality setup.""},{""source"":""volume"",""name"":""volume_or_liquidity_weak"",""score"":45.75,""detail"":""Volume confirmation or liquidity is weak.""}]","[{""source"":""short_interest"",""name"":""real_short_interest_missing"",""score"":0.0,""detail"":""Squeeze score is proxy-only until real short interest/options data is connected.""}]",{},Capped: weak_or_missing_catalyst / price_structure_unconfirmed,completed,0.031811,0.065249,,153.250000,161.479996,152.830002,158.610001,0.050481,0.031811,-0.002741,true,false,false,false,false,0.034976,,not_triggered
